"","datetime","wtr_0","wtr_2","wtr_3","wtr_4","wtr_5","wtr_1"
"45",2022-07-09 18:00:00,7.782,13.076,11.236,9.077,7.983,13.458
"46",2022-07-09 18:30:00,7.782,12.883,11.334,8.978,7.983,13.423
"47",2022-07-09 19:00:00,7.882,12.594,11.236,9.176,8.182,13.58
"48",2022-07-09 19:30:00,7.682,12.98,11.041,9.176,8.082,13.536
"49",2022-07-09 20:00:00,7.682,12.883,10.944,9.275,8.182,13.405
"50",2022-07-09 20:30:00,7.782,12.69,11.236,9.077,8.082,13.702
"51",2022-07-09 21:00:00,7.682,12.594,11.139,9.077,8.082,13.841
"52",2022-07-09 21:30:00,7.782,12.787,11.041,9.077,8.282,13.475
"53",2022-07-09 22:00:00,7.782,13.076,11.139,8.978,7.983,13.484
"54",2022-07-09 22:30:00,7.682,12.594,11.236,9.176,7.882,13.589
"55",2022-07-09 23:00:00,7.882,12.497,11.139,9.176,8.182,13.684
"56",2022-07-09 23:30:00,7.582,12.98,10.846,8.978,8.082,13.711
"57",2022-07-10 00:00:00,7.682,12.883,11.139,9.077,8.182,13.379
"58",2022-07-10 00:30:00,7.782,12.883,10.944,9.077,7.983,13.789
"59",2022-07-10 01:00:00,7.782,12.787,11.236,8.879,8.082,13.492
"60",2022-07-10 01:30:00,7.682,12.98,10.944,8.978,8.182,13.484
"61",2022-07-10 02:00:00,7.682,12.69,11.236,9.077,8.082,13.484
"62",2022-07-10 02:30:00,7.782,12.69,11.041,9.176,7.983,13.423
"63",2022-07-10 03:00:00,7.782,12.69,10.846,9.176,8.082,13.501
"64",2022-07-10 03:30:00,7.682,12.883,10.846,9.176,7.983,13.484
"65",2022-07-10 04:00:00,7.782,12.883,11.139,8.978,8.282,13.475
"66",2022-07-10 04:30:00,7.782,12.787,11.236,8.879,8.082,13.466
"67",2022-07-10 05:00:00,7.682,12.787,11.139,9.077,8.082,13.353
"68",2022-07-10 05:30:00,7.682,12.98,10.846,9.077,8.082,13.265
"69",2022-07-10 06:00:00,7.682,12.883,11.139,9.176,7.983,13.309
"70",2022-07-10 06:30:00,7.782,12.883,11.041,8.978,8.182,13.274
"71",2022-07-10 07:00:00,7.682,12.787,11.139,8.978,7.983,13.16
"72",2022-07-10 07:30:00,7.682,12.787,10.944,9.275,7.983,13.195
"73",2022-07-10 08:00:00,7.782,12.98,11.041,9.077,8.182,13.16
"74",2022-07-10 08:30:00,7.782,12.98,11.334,8.978,8.082,13.107
"75",2022-07-10 09:00:00,7.782,12.787,11.236,9.176,8.182,13.098
"76",2022-07-10 09:30:00,7.782,12.883,11.334,9.176,8.082,13.107
"77",2022-07-10 10:00:00,7.882,12.883,11.334,9.275,8.082,13.134
"78",2022-07-10 10:30:00,7.983,12.98,11.625,9.176,8.182,13.151
"79",2022-07-10 11:00:00,7.983,13.076,11.722,9.275,8.282,13.212
"80",2022-07-10 11:30:00,7.882,13.269,12.11,9.373,8.182,13.186
"81",2022-07-10 12:00:00,7.882,13.076,11.916,9.571,8.182,13.3
"82",2022-07-10 12:30:00,8.082,13.365,12.013,9.571,8.282,13.379
"83",2022-07-10 13:00:00,7.882,13.173,11.819,9.275,8.282,13.44
"84",2022-07-10 13:30:00,8.082,13.558,12.207,9.571,8.481,13.44
"85",2022-07-10 14:00:00,7.882,13.269,11.431,9.176,8.382,13.58
"86",2022-07-10 14:30:00,7.983,13.558,12.207,9.275,8.282,13.589
"87",2022-07-10 15:00:00,7.983,13.654,11.722,9.472,8.382,13.632
"88",2022-07-10 15:30:00,8.082,13.461,12.401,9.571,8.481,13.623
"89",2022-07-10 16:00:00,8.082,13.654,12.11,9.669,8.481,13.702
"90",2022-07-10 16:30:00,7.882,13.461,11.625,9.373,8.182,13.893
"91",2022-07-10 17:00:00,7.983,13.269,11.334,9.275,8.382,13.989
"92",2022-07-10 17:30:00,7.882,13.558,11.528,9.472,8.182,13.763
"93",2022-07-10 18:00:00,7.983,13.558,11.528,9.373,8.481,13.859
"94",2022-07-10 18:30:00,8.082,13.365,11.431,9.176,8.282,13.815
"95",2022-07-10 19:00:00,7.882,13.461,11.431,9.373,8.382,13.815
"96",2022-07-10 19:30:00,7.782,13.365,11.334,9.472,8.182,13.833
"97",2022-07-10 20:00:00,7.882,13.461,11.139,9.373,8.182,13.824
"98",2022-07-10 20:30:00,7.983,13.461,11.431,9.077,8.182,13.815
"99",2022-07-10 21:00:00,7.983,13.461,11.431,9.275,8.481,13.876
"100",2022-07-10 21:30:00,7.983,13.558,11.431,9.176,8.282,13.815
"101",2022-07-10 22:00:00,7.882,13.558,11.431,9.373,8.282,13.824
"102",2022-07-10 22:30:00,7.782,13.365,11.528,9.176,8.282,13.754
"103",2022-07-10 23:00:00,7.882,13.365,11.236,9.176,8.382,13.728
"104",2022-07-10 23:30:00,7.983,13.365,11.139,9.373,8.182,13.632
"105",2022-07-11 00:00:00,7.983,13.461,11.236,9.176,8.282,13.615
"106",2022-07-11 00:30:00,7.882,13.461,11.334,9.275,8.182,13.571
"107",2022-07-11 01:00:00,7.882,13.365,11.139,9.373,8.282,13.554
"108",2022-07-11 01:30:00,7.882,13.269,11.236,9.275,8.282,13.51
"109",2022-07-11 02:00:00,7.983,13.365,11.334,9.176,8.282,13.458
"110",2022-07-11 02:30:00,7.882,13.365,11.431,9.077,8.282,13.431
"111",2022-07-11 03:00:00,7.882,13.269,11.139,9.275,8.382,13.379
"112",2022-07-11 03:30:00,7.882,13.269,11.334,9.275,8.282,13.344
"113",2022-07-11 04:00:00,7.882,13.173,11.431,9.275,8.182,13.318
"114",2022-07-11 04:30:00,7.983,13.269,11.236,9.176,8.282,13.274
"115",2022-07-11 05:00:00,7.882,13.173,11.334,9.176,8.282,13.221
"116",2022-07-11 05:30:00,7.882,13.173,11.236,9.373,8.182,13.177
"117",2022-07-11 06:00:00,7.882,13.269,11.334,9.275,8.282,13.151
"118",2022-07-11 06:30:00,7.882,13.173,11.334,9.275,8.182,13.125
"119",2022-07-11 07:00:00,7.983,13.173,11.334,9.275,8.282,13.081
"120",2022-07-11 07:30:00,7.983,13.173,11.431,9.176,8.282,13.046
"121",2022-07-11 08:00:00,7.882,13.173,11.334,9.275,8.282,13.002
"122",2022-07-11 08:30:00,7.882,13.173,11.236,9.275,8.182,13.011
"123",2022-07-11 09:00:00,7.882,13.173,11.236,9.275,8.182,12.958
"124",2022-07-11 09:30:00,7.983,13.461,11.916,9.768,8.382,12.958
"125",2022-07-11 10:00:00,8.082,13.558,12.11,9.669,8.382,12.993
"126",2022-07-11 10:30:00,7.983,13.558,12.207,9.768,8.382,13.046
"127",2022-07-11 11:00:00,8.082,13.558,12.304,9.669,8.382,13.063
"128",2022-07-11 11:30:00,8.182,13.365,12.304,9.571,8.481,13.072
"129",2022-07-11 12:00:00,8.182,13.654,12.497,9.768,8.581,13.134
"130",2022-07-11 12:30:00,8.182,13.558,12.207,9.669,8.481,13.151
"131",2022-07-11 13:00:00,8.182,13.654,12.401,9.866,8.68,13.239
"132",2022-07-11 13:30:00,8.182,13.75,12.787,9.768,8.68,13.379
"133",2022-07-11 14:00:00,8.282,13.654,12.497,9.669,8.68,13.423
"134",2022-07-11 14:30:00,8.282,13.654,12.11,9.669,8.779,13.484
"135",2022-07-11 15:00:00,8.282,13.75,12.401,9.669,8.68,13.449
"136",2022-07-11 15:30:00,8.382,13.846,12.401,9.768,8.879,13.554
"137",2022-07-11 16:00:00,8.282,13.846,12.497,9.571,8.879,13.65
"138",2022-07-11 16:30:00,8.182,13.846,12.497,9.768,8.779,13.684
"139",2022-07-11 17:00:00,8.282,14.038,12.304,9.866,8.68,13.902
"140",2022-07-11 17:30:00,8.182,13.654,12.207,9.866,8.68,13.841
"141",2022-07-11 18:00:00,8.282,13.942,12.11,9.571,8.68,13.806
"142",2022-07-11 18:30:00,8.182,13.75,11.916,9.768,8.581,13.789
"143",2022-07-11 19:00:00,8.182,13.846,12.207,9.472,8.581,13.85
"144",2022-07-11 19:30:00,8.182,13.558,12.11,9.571,8.68,13.998
"145",2022-07-11 20:00:00,8.082,13.558,11.431,9.669,8.581,13.876
"146",2022-07-11 20:30:00,8.082,13.654,11.722,9.571,8.481,13.867
"147",2022-07-11 21:00:00,8.082,13.654,11.528,9.768,8.481,13.859
"148",2022-07-11 21:30:00,8.082,13.558,11.819,9.472,8.481,13.911
"149",2022-07-11 22:00:00,8.182,13.558,12.013,9.472,8.481,14.05
"150",2022-07-11 22:30:00,8.182,13.558,11.722,9.571,8.481,14.015
"151",2022-07-11 23:00:00,8.182,13.558,11.722,9.669,8.481,13.902
"152",2022-07-11 23:30:00,8.082,13.558,11.819,9.571,8.481,13.876
"153",2022-07-12 00:00:00,8.082,13.654,11.722,9.571,8.581,13.833
"154",2022-07-12 00:30:00,8.182,13.558,11.916,9.571,8.481,13.928
"155",2022-07-12 01:00:00,8.082,13.558,11.819,9.571,8.581,13.893
"156",2022-07-12 01:30:00,8.082,13.558,11.722,9.571,8.481,13.893
"157",2022-07-12 02:00:00,8.182,13.558,11.722,9.472,8.481,13.859
"158",2022-07-12 02:30:00,8.082,13.558,11.722,9.669,8.481,13.885
"159",2022-07-12 03:00:00,8.082,13.558,11.722,9.571,8.481,13.911
"160",2022-07-12 03:30:00,8.082,13.558,11.722,9.571,8.481,13.902
"161",2022-07-12 04:00:00,8.082,13.654,11.722,9.472,8.481,13.954
"162",2022-07-12 04:30:00,8.082,13.654,11.722,9.571,8.481,13.911
"163",2022-07-12 05:00:00,8.082,13.654,11.722,9.669,8.481,13.85
"164",2022-07-12 05:30:00,8.082,13.558,11.722,9.472,8.481,13.789
"165",2022-07-12 06:00:00,8.082,13.558,11.722,9.571,8.481,13.833
"166",2022-07-12 06:30:00,8.082,13.558,11.819,9.571,8.581,13.824
"167",2022-07-12 07:00:00,8.082,13.558,11.819,9.571,8.481,13.754
"168",2022-07-12 07:30:00,8.082,13.654,11.722,9.571,8.481,13.745
"169",2022-07-12 08:00:00,8.082,13.654,11.722,9.571,8.481,13.719
"170",2022-07-12 08:30:00,8.082,13.654,11.722,9.669,8.481,13.702
"171",2022-07-12 09:00:00,8.082,13.558,11.722,9.571,8.481,13.684
"172",2022-07-12 09:30:00,8.182,13.942,12.11,9.965,8.581,13.684
"173",2022-07-12 10:00:00,8.282,13.942,12.497,9.965,8.68,13.693
"174",2022-07-12 10:30:00,8.282,13.942,12.497,9.965,8.68,13.719
"175",2022-07-12 11:00:00,8.282,13.846,12.497,9.965,8.779,13.763
"176",2022-07-12 11:30:00,8.282,14.038,12.594,10.063,8.779,13.798
"177",2022-07-12 12:00:00,8.382,14.134,12.98,9.965,8.779,13.876
"178",2022-07-12 12:30:00,8.382,14.134,12.98,9.965,8.978,13.928
"179",2022-07-12 13:00:00,8.481,14.23,12.401,10.161,8.779,13.989
"180",2022-07-12 13:30:00,8.481,14.325,12.594,9.965,8.779,14.041
"181",2022-07-12 14:00:00,8.481,14.325,13.173,9.965,8.779,14.102
"182",2022-07-12 14:30:00,8.481,14.421,13.269,9.866,8.779,14.128
"183",2022-07-12 15:00:00,8.581,14.421,13.173,10.063,8.879,14.18
"184",2022-07-12 15:30:00,8.581,14.613,13.173,10.161,8.879,14.301
"185",2022-07-12 16:00:00,8.481,14.517,13.173,10.455,8.879,14.327
"186",2022-07-12 16:30:00,8.382,14.421,12.883,10.357,8.879,14.388
"187",2022-07-12 17:00:00,8.382,14.421,12.69,10.357,8.879,14.492
"188",2022-07-12 17:30:00,8.481,14.613,12.883,10.455,8.779,14.518
"189",2022-07-12 18:00:00,8.481,14.325,12.69,10.259,8.879,14.457
"190",2022-07-12 18:30:00,8.581,14.325,12.401,10.161,9.077,14.682
"191",2022-07-12 19:00:00,8.382,14.23,12.594,9.965,8.879,14.613
"192",2022-07-12 19:30:00,8.382,14.134,12.11,9.768,8.978,14.621
"193",2022-07-12 20:00:00,8.282,14.23,12.304,9.669,8.879,14.699
"194",2022-07-12 20:30:00,8.282,14.23,12.11,10.063,8.581,14.656
"195",2022-07-12 21:00:00,8.581,14.325,12.304,9.768,8.779,14.673
"196",2022-07-12 21:30:00,8.382,14.23,12.304,9.768,8.68,14.665
"197",2022-07-12 22:00:00,8.382,14.134,12.207,9.866,8.879,14.656
"198",2022-07-12 22:30:00,8.282,14.134,12.013,10.063,8.978,14.595
"199",2022-07-12 23:00:00,8.282,14.23,12.207,9.669,8.581,14.63
"200",2022-07-12 23:30:00,8.481,14.134,12.11,9.866,8.879,14.63
"201",2022-07-13 00:00:00,8.382,14.134,12.11,9.965,8.779,14.673
"202",2022-07-13 00:30:00,8.382,14.134,12.304,9.768,8.779,14.716
"203",2022-07-13 01:00:00,8.382,14.23,12.11,9.866,8.779,14.69
"204",2022-07-13 01:30:00,8.382,14.134,12.013,9.965,8.779,14.656
"205",2022-07-13 02:00:00,8.282,14.23,12.207,9.866,8.68,14.656
"206",2022-07-13 02:30:00,8.382,14.23,12.304,9.866,8.779,14.656
"207",2022-07-13 03:00:00,8.282,14.134,12.207,9.866,8.779,14.613
"208",2022-07-13 03:30:00,8.382,14.134,12.11,9.768,8.879,14.63
"209",2022-07-13 04:00:00,8.382,14.23,12.11,9.866,8.779,14.639
"210",2022-07-13 04:30:00,8.282,14.134,12.207,9.866,8.68,14.621
"211",2022-07-13 05:00:00,8.282,14.134,12.207,9.965,8.779,14.604
"212",2022-07-13 05:30:00,8.382,14.23,12.11,9.965,8.68,14.639
"213",2022-07-13 06:00:00,8.382,14.23,12.11,9.965,8.68,14.682
"214",2022-07-13 06:30:00,8.382,14.134,12.013,9.965,8.779,14.69
"215",2022-07-13 07:00:00,8.282,14.134,12.207,10.063,8.68,14.665
"216",2022-07-13 07:30:00,8.382,14.23,12.207,9.866,8.779,14.639
"217",2022-07-13 08:00:00,8.382,14.134,12.207,9.768,8.779,14.682
"218",2022-07-13 08:30:00,8.382,14.23,12.207,9.866,8.879,14.69
"219",2022-07-13 09:00:00,8.382,14.23,12.11,9.866,8.779,14.665
"220",2022-07-13 09:30:00,8.481,14.23,12.207,9.768,8.879,14.682
"221",2022-07-13 10:00:00,8.282,14.134,12.207,9.866,8.68,14.656
"222",2022-07-13 10:30:00,8.382,14.23,12.207,10.063,8.879,14.656
"223",2022-07-13 11:00:00,8.581,14.709,12.98,10.063,8.879,14.656
"224",2022-07-13 11:30:00,8.581,14.709,13.173,10.259,8.879,14.716
"225",2022-07-13 12:00:00,8.581,14.709,13.269,10.259,9.176,14.794
"226",2022-07-13 12:30:00,8.581,14.517,12.883,10.553,8.879,14.854
"227",2022-07-13 13:00:00,8.481,14.517,12.401,9.965,8.879,14.854
"228",2022-07-13 13:30:00,8.581,14.613,12.69,9.965,8.879,14.82
"229",2022-07-13 14:00:00,8.481,14.709,12.98,10.063,8.879,14.871
"230",2022-07-13 14:30:00,8.68,14.613,13.076,10.259,9.077,15.087
"231",2022-07-13 15:00:00,8.581,14.613,13.173,10.651,9.077,15.224
"232",2022-07-13 15:30:00,8.481,14.709,12.594,10.357,8.978,15.19
"233",2022-07-13 16:00:00,8.581,14.709,13.173,10.161,9.077,15.241
"234",2022-07-13 16:30:00,8.779,14.709,12.69,10.063,9.275,15.37
"235",2022-07-13 17:00:00,8.581,14.709,13.365,10.553,8.879,15.25
"236",2022-07-13 17:30:00,8.68,14.709,12.497,10.553,9.373,15.456
"237",2022-07-13 18:00:00,8.481,14.804,12.787,9.965,8.879,15.464
"238",2022-07-13 18:30:00,8.581,14.9,12.69,9.965,8.978,15.567
"239",2022-07-13 19:00:00,8.68,14.613,12.594,10.161,8.978,15.499
"240",2022-07-13 19:30:00,8.481,14.613,12.69,10.259,8.779,15.344
"241",2022-07-13 20:00:00,8.581,14.613,12.594,10.161,9.176,15.576
"242",2022-07-13 20:30:00,8.481,14.613,12.401,9.965,8.978,15.533
"243",2022-07-13 21:00:00,8.481,14.517,12.497,10.161,9.077,15.481
"244",2022-07-13 21:30:00,8.581,14.613,12.594,10.161,8.879,15.558
"245",2022-07-13 22:00:00,8.481,14.613,12.497,10.161,8.779,15.601
"246",2022-07-13 22:30:00,8.481,14.613,12.497,10.161,8.978,15.439
"247",2022-07-13 23:00:00,8.481,14.613,12.207,10.357,8.978,15.439
"248",2022-07-13 23:30:00,8.481,14.613,12.304,10.161,8.879,15.481
"249",2022-07-14 00:00:00,8.581,14.517,12.594,9.866,8.978,15.533
"250",2022-07-14 00:30:00,8.481,14.613,12.304,10.259,8.978,15.584
"251",2022-07-14 01:00:00,8.481,14.517,12.497,10.063,8.879,15.576
"252",2022-07-14 01:30:00,8.581,14.613,12.304,10.161,8.978,15.473
"253",2022-07-14 02:00:00,8.68,14.613,12.497,10.063,9.077,15.516
"254",2022-07-14 02:30:00,8.581,14.613,12.401,10.161,8.978,15.49
"255",2022-07-14 03:00:00,8.481,14.517,12.497,10.161,8.879,15.37
"256",2022-07-14 03:30:00,8.481,14.613,12.401,10.161,8.879,15.387
"257",2022-07-14 04:00:00,8.581,14.517,12.304,10.063,8.879,15.387
"258",2022-07-14 04:30:00,8.481,14.517,12.401,10.161,8.978,15.404
"259",2022-07-14 05:00:00,8.481,14.517,12.594,9.965,8.879,15.396
"260",2022-07-14 05:30:00,8.481,14.613,12.497,10.063,8.978,15.379
"261",2022-07-14 06:00:00,8.581,14.613,12.497,10.063,8.879,15.327
"262",2022-07-14 06:30:00,8.581,14.613,12.401,10.161,8.879,15.267
"263",2022-07-14 07:00:00,8.581,14.613,12.304,10.161,8.978,15.241
"264",2022-07-14 07:30:00,8.581,14.613,12.401,10.161,8.879,15.207
"265",2022-07-14 08:00:00,8.581,14.613,12.401,10.063,8.978,15.173
"266",2022-07-14 08:30:00,8.481,14.613,12.497,10.161,8.978,15.138
"267",2022-07-14 09:00:00,8.581,14.613,12.401,10.063,8.978,15.087
"268",2022-07-14 09:30:00,8.68,14.804,12.787,10.259,9.077,15.104
"269",2022-07-14 10:00:00,8.68,14.804,12.98,10.259,8.978,15.112
"270",2022-07-14 10:30:00,8.779,14.996,13.076,10.357,9.176,15.13
"271",2022-07-14 11:00:00,8.779,15.187,13.365,10.553,9.077,15.147
"272",2022-07-14 11:30:00,8.779,15.282,13.558,10.455,9.176,15.207
"273",2022-07-14 12:00:00,8.779,15.282,13.076,10.455,9.275,15.241
"274",2022-07-14 12:30:00,8.779,15.282,13.558,10.455,9.373,15.198
"275",2022-07-14 13:00:00,8.779,15.091,13.558,10.553,9.373,15.284
"276",2022-07-14 13:30:00,8.779,15.091,13.365,10.748,9.373,15.413
"277",2022-07-14 14:00:00,8.879,15.282,13.846,10.455,9.472,15.447
"278",2022-07-14 14:30:00,8.879,15.378,13.75,10.651,9.373,15.541
"279",2022-07-14 15:00:00,8.879,15.569,13.654,10.651,9.472,15.541
"280",2022-07-14 15:30:00,8.879,15.378,13.558,10.455,9.472,15.593
"281",2022-07-14 16:00:00,8.978,15.378,13.269,10.651,9.571,15.721
"282",2022-07-14 16:30:00,8.879,15.473,13.076,10.553,9.373,15.764
"283",2022-07-14 17:00:00,8.779,15.473,13.461,10.553,9.176,15.815
"284",2022-07-14 17:30:00,8.978,15.569,13.269,10.651,9.373,15.935
"285",2022-07-14 18:00:00,8.879,15.378,13.269,10.455,9.571,15.866
"286",2022-07-14 18:30:00,8.779,15.569,13.076,10.455,9.373,15.875
"287",2022-07-14 19:00:00,8.779,15.378,13.173,10.455,9.275,16.011
"288",2022-07-14 19:30:00,8.779,14.996,13.173,10.357,9.275,16.054
"289",2022-07-14 20:00:00,8.68,15.282,12.497,10.553,9.472,16.173
"290",2022-07-14 20:30:00,8.779,15.282,12.883,10.357,9.077,15.918
"291",2022-07-14 21:00:00,8.68,15.282,12.98,10.357,9.275,15.815
"292",2022-07-14 21:30:00,8.879,15.378,12.69,10.455,9.275,15.926
"293",2022-07-14 22:00:00,8.779,15.091,12.883,10.259,9.275,15.986
"294",2022-07-14 22:30:00,8.68,15.187,12.787,10.357,9.275,16.139
"295",2022-07-14 23:00:00,8.779,15.282,12.69,10.455,9.077,16.097
"296",2022-07-14 23:30:00,8.779,15.187,12.98,10.357,9.275,15.969
"297",2022-07-15 00:00:00,8.779,15.378,12.98,10.357,9.275,15.96
"298",2022-07-15 00:30:00,8.779,15.282,12.98,10.357,9.176,15.883
"299",2022-07-15 01:00:00,8.68,15.091,12.883,10.553,9.275,15.96
"300",2022-07-15 01:30:00,8.68,15.187,12.787,10.357,9.373,15.935
"301",2022-07-15 02:00:00,8.68,15.282,12.787,10.357,9.176,15.926
"302",2022-07-15 02:30:00,8.879,15.282,12.883,10.357,9.176,15.943
"303",2022-07-15 03:00:00,8.779,15.187,12.98,10.357,9.176,15.96
"304",2022-07-15 03:30:00,8.779,15.187,12.883,10.455,9.176,15.892
"305",2022-07-15 04:00:00,8.779,15.187,12.787,10.455,9.176,15.901
"306",2022-07-15 04:30:00,8.779,15.187,12.787,10.357,9.275,15.901
"307",2022-07-15 05:00:00,8.779,15.187,12.883,10.357,9.176,15.892
"308",2022-07-15 05:30:00,8.779,15.187,12.98,10.357,9.077,15.883
"309",2022-07-15 06:00:00,8.779,15.282,12.787,10.455,9.275,15.832
"310",2022-07-15 06:30:00,8.68,15.187,12.787,10.357,9.176,15.841
"311",2022-07-15 07:00:00,8.68,15.187,12.98,10.357,9.275,15.798
"312",2022-07-15 07:30:00,8.779,15.187,12.98,10.357,9.275,15.798
"313",2022-07-15 08:00:00,8.779,15.187,12.787,10.455,9.275,15.747
"314",2022-07-15 08:30:00,8.779,15.282,12.98,10.357,9.176,15.738
"315",2022-07-15 09:00:00,8.779,15.282,12.883,10.553,9.176,15.747
"316",2022-07-15 09:30:00,8.779,15.282,12.98,10.455,9.176,15.73
"317",2022-07-15 10:00:00,8.779,15.282,12.98,10.455,9.275,15.704
"318",2022-07-15 10:30:00,8.879,15.378,13.173,10.455,9.275,15.721
"319",2022-07-15 11:00:00,8.879,15.473,13.269,10.553,9.275,15.721
"320",2022-07-15 11:30:00,8.978,15.76,13.654,10.748,9.571,15.747
"321",2022-07-15 12:00:00,8.978,15.951,13.461,10.651,9.472,15.798
"322",2022-07-15 12:30:00,9.077,15.951,13.558,10.748,9.571,15.883
"323",2022-07-15 13:00:00,9.077,15.664,13.846,10.846,9.472,15.935
"324",2022-07-15 13:30:00,8.879,15.569,13.173,10.357,9.275,16.003
"325",2022-07-15 14:00:00,8.978,15.473,13.365,10.553,9.472,16.335
"326",2022-07-15 14:30:00,9.077,15.569,13.558,10.651,9.373,16.233
"327",2022-07-15 15:00:00,8.879,15.76,12.98,10.553,9.373,15.849
"328",2022-07-15 15:30:00,9.077,16.046,13.365,10.944,9.472,15.926
"329",2022-07-15 16:00:00,9.176,15.951,13.654,10.553,9.571,16.029
"330",2022-07-15 16:30:00,8.978,15.664,13.365,10.944,9.373,16.25
"331",2022-07-15 17:00:00,9.176,15.76,13.365,10.748,9.472,16.199
"332",2022-07-15 17:30:00,8.879,15.855,13.269,10.944,9.373,16.31
"333",2022-07-15 18:00:00,9.077,15.855,13.942,10.357,9.472,16.122
"334",2022-07-15 18:30:00,9.077,15.855,13.654,10.651,9.472,16.182
"335",2022-07-15 19:00:00,8.978,15.569,13.076,10.944,9.373,16.344
"336",2022-07-15 19:30:00,8.779,15.569,13.269,10.651,9.373,16.216
"337",2022-07-15 20:00:00,8.779,15.664,13.173,10.651,9.472,16.259
"338",2022-07-15 20:30:00,9.077,15.76,13.269,10.553,9.373,16.293
"339",2022-07-15 21:00:00,8.978,15.569,13.269,10.553,9.275,16.318
"340",2022-07-15 21:30:00,8.978,15.569,13.076,10.748,9.373,16.344
"341",2022-07-15 22:00:00,8.879,15.569,13.076,10.553,9.472,16.352
"342",2022-07-15 22:30:00,8.879,15.664,13.076,10.553,9.472,16.301
"343",2022-07-15 23:00:00,8.879,15.76,13.076,10.553,9.373,16.259
"344",2022-07-15 23:30:00,8.779,15.473,13.173,10.748,9.275,16.225
"345",2022-07-16 00:00:00,8.879,15.569,13.076,10.651,9.472,16.259
"346",2022-07-16 00:30:00,8.879,15.664,13.173,10.553,9.275,16.267
"347",2022-07-16 01:00:00,8.879,15.664,13.076,10.455,9.373,16.437
